photo,scale,cam,easting,northing,elev,diff
02003001_0005.png,10.4,vertical,751913.2202,3766556.631,-28.781643,-1.458303452
02003001_0014.png,10.2,vertical,751910.8705,3766556.429,-29.780111,-1.430505753
01003001_0019.png,10.5,oblique,751909.3525,3766556.885,-29.161017,-1.410982132
01003001_0010.png,11.2,oblique,751911.6426,3766556.682,-29.243999,-1.360214233
01003001_0048.png,10.5,oblique,751901.5862,3766558.611,-28.767683,-1.003562927
01003001_0245.png,10.6,oblique,751919.7239,3766563.107,-29.631589,-0.628780365
01003001_0218.png,10.6,oblique,751909.9054,3766562.125,-29.546791,-0.622714996
02002002_0325.png,10.3,vertical,751764.7581,3766572.802,-30.371205,-0.576690674
01003001_0400.png,10.6,oblique,751958.043,3766571.029,-29.794627,-0.523614883
02003001_0196.png,10.4,vertical,751902.1813,3766562.888,-30.221072,-0.495632172
01002002_0400.png,10.3,oblique,751762.8338,3766573.014,-30.595311,-0.488124847
02002002_0233.png,10.3,vertical,751772.7754,3766570.875,-30.470898,-0.485740662
01003001_0249.png,10.7,oblique,751921.1326,3766563.545,-29.291037,-0.476428986
02003001_0252.png,10.7,vertical,751921.7712,3766563.805,-29.390642,-0.45520401
01002002_0323.png,10.1,oblique,751766.1224,3766572.743,-30.38503,-0.452484131
02002002_0411.png,10.3,vertical,751764.3443,3766574.198,-30.542566,-0.447296143
01003001_0149.png,10.2,oblique,751891.7079,3766562.489,-30.427628,-0.391132355
01003001_0369.png,10.5,oblique,751950.8625,3766568.265,-27.82353,-0.359477997
02003001_0088.png,10.6,vertical,751892.4322,3766562.101,-30.016947,-0.351547241
02003001_0400.png,10.5,vertical,751957.8178,3766570.868,-29.869559,-0.315736771
01002002_0201.png,10.3,oblique,751768.8122,3766573.821,-30.324214,-0.277496338
02002004_0060.png,10.4,vertical,751909.0831,3766567.785,-29.506416,-0.271156311
02002002_0165.png,10.2,vertical,751763.4063,3766578.272,-30.684712,-0.254356384
01002004_0063.png,10.5,oblique,751907.9914,3766567.833,-29.317901,-0.176986694
01002004_0053.png,10.4,oblique,751905.8455,3766568.51,-29.561414,-0.074867249
01002004_0263.png,10.7,oblique,751940.552,3766569.249,-28.9804,-0.070718765
02002004_0044.png,10.5,vertical,751905.5417,3766568.56,-29.558285,-0.047721863
01002002_0166.png,10.3,oblique,751763.3506,3766578.409,-30.620903,-0.035434723
02003001_0384.png,10.5,vertical,751954.9612,3766569.182,-28.476636,-0.007888794
