Date,Time,Hs,Tp,Dp,Ta,SST
01-09-2018,13:00,10.34,10.53,273,7.62,53.2
01-09-2018,12:30,11.09,10.53,272,8.01,53.2
01-09-2018,12:00,10.30,10.00,270,7.78,53.1
01-09-2018,11:30,9.58,8.70,272,7.49,53.1
01-09-2018,11:00,8.96,8.70,274,7.56,53.1
01-09-2018,10:30,8.96,8.70,269,7.54,53.2
01-09-2018,10:00,8.04,7.69,269,7.13,53.2
01-09-2018,09:30,7.87,8.33,265,6.91,53.2
01-09-2018,09:00,8.27,6.90,265,7.08,53.4
01-09-2018,08:30,7.42,13.33,271,6.89,53.8
01-09-2018,08:00,6.92,14.29,269,6.46,54.0
01-09-2018,07:30,6.86,14.29,270,6.53,53.8
01-09-2018,07:00,6.14,15.38,274,6.75,53.8
01-09-2018,06:30,6.14,15.38,270,7.54,53.4
01-09-2018,06:00,5.68,14.29,267,7.85,53.4
01-09-2018,05:30,6.56,14.29,270,8.22,53.2
01-09-2018,05:00,6.43,14.29,271,8.19,53.2
01-09-2018,04:30,6.23,14.29,270,7.72,53.1
01-09-2018,04:00,6.63,15.38,263,7.55,53.1
01-09-2018,03:30,5.97,14.29,271,7.39,53.1
01-09-2018,03:00,6.10,14.29,270,7.34,53.1
01-09-2018,02:30,6.17,7.14,207,7.03,53.1
01-09-2018,02:00,6.17,7.41,214,6.69,53.1
01-09-2018,01:30,6.10,15.38,267,6.80,53.1
01-09-2018,01:00,6.69,8.00,220,6.74,52.9
01-09-2018,00:30,7.19,15.38,269,7.00,52.9
01-09-2018,00:00,6.56,15.38,271,6.50,52.9
01-08-2018,23:30,6.73,15.38,270,6.60,52.9
01-08-2018,23:00,6.76,15.38,273,6.72,52.9
01-08-2018,22:30,6.14,15.38,274,6.98,52.9
01-08-2018,22:00,5.68,16.67,272,6.61,53.1
01-08-2018,21:30,6.27,15.38,270,6.83,53.2
01-08-2018,21:00,5.91,15.38,269,6.68,53.2
01-08-2018,20:30,6.33,7.41,233,6.55,53.1
01-08-2018,20:00,5.94,16.67,267,6.32,53.1
01-08-2018,19:30,6.10,6.67,227,6.00,53.1
01-08-2018,19:00,5.97,16.67,272,5.99,53.1
01-08-2018,18:30,5.91,6.67,217,5.83,53.1
01-08-2018,18:00,5.91,16.67,280,5.88,53.1
01-08-2018,17:30,5.68,16.67,276,5.74,53.1
01-08-2018,17:00,5.68,16.67,266,5.74,53.1
01-08-2018,16:30,5.51,16.67,259,5.65,52.9
01-08-2018,16:00,5.05,16.67,262,5.47,53.1
01-08-2018,15:30,4.92,16.67,266,5.63,52.9
01-08-2018,15:00,4.92,16.67,267,5.49,52.9
01-08-2018,14:30,5.09,16.67,264,5.75,52.9
